"Apparent brightness ","apparent magnitude","
    A measure of the brightness of a celestial object as it appears from Earth. The Sun is the brightest object in Earthâs sky and has the greatest apparent magnitude, with the moon second. Apparent brightness does not take into account how far away the object is from Earth.




"
"Arc minute",,"
    One arc minute is 1/60 of a degree of arc. The angular diameter of the full moon or the Sun as seen from Earth is about 30 arc minutes.




"
"Arc second",,"
    One arc second is 1/60 of an arc minute and 1/3600 of an arc degree. The apparent size of a dime about 3.7 kilometers (2.3 miles) away would be an arc second. The angular diameter of Jupiter varies from about 30 to 50 arc seconds, depending on its distance from Earth.




"
Array,,"
    An orderly arrangement or impressive display. For radio telescopes, an array is a group of individual radio dishes that work together. The VLA (Very Large Array) has 27 telescope dishes arranged in a âYâ pattern.




"
"Association of Universities for Research in Astronomy, Inc. ",AURA,"
    A consortium of educational and other non-profit institutions that operates world-class astronomical observatories. Members include five international affiliates and 29 U.S. institutions, including the Space Telescope Science Institute in Baltimore, Maryland, the science operations center for NASAâs Hubble Space Telescope.




"
Asteroid,,"
    A small solar system object composed mostly of rock. Many of these objects orbit the Sun between Mars and Jupiter. Their sizes range anywhere from 33 feet (10 meters) in diameter to less than 620 miles (1,000 kilometers). The largest known asteroid, Ceres, has a diameter of 579 miles (926 kilometers).




"
"Asteroid belt",,"
    A region of space between Mars and Jupiter where the great majority of asteroids is found.




"
Astronomer,,"
    A scientist who studies the universe and the celestial bodies residing in it, including their composition, history, location, and motion. Many of the scientists at the Space Telescope Science Institute are astronomers. Astronomers from all over the world use the Hubble Space Telescope.



"
"Astronomical unit ",AU,"
    The average distance between the Earth and the Sun, which is about 150 million kilometers (93 million miles). This unit of length is commonly used for measuring the distances between objects within the solar system.




"
Astronomy,,"
    The study of the universe and the celestial bodies that reside in it, including their composition, history, location, and motion.




"
Atmosphere,,"
    The layer of gases surrounding the surface of a planet, moon, or star.




"
"Atmospheric distortion",,"
    The blurring of an image due to the layer of gases surrounding the surface of Earth. As starlight travels through the atmosphere, pockets of air act like little lenses and bend the light in unpredictable ways. This distortion causes stars to appear to twinkle.




"
Atom,,"
    The smallest unit of matter that possesses chemical properties.   All atoms have the same basic structure: a nucleus containing positively charged   protons with an equal number of negatively charged electrons orbiting around   it. In addition to protons, most nuclei contain neutral neutrons whose mass   is similar to that of protons. Each atom corresponds to a unique chemical element   determined by the number of protons in its nucleus.



"
"Atomic nucleus",,"
    The positively charged core of an atom consisting of protons and (except for hydrogen) neutrons, and around which electrons orbit.




"
Aurora,,"
    A phenomenon produced when the solar wind (made up of energized electrons and protons) disturbs the atoms and molecules in a planetâs upper atmosphere. Some of the energy produced by these disturbances is converted into colorful visible light, which shimmers and dances. Auroras have been seen on several planets in our solar system. On Earth, auroras are also known as the âNorthern Lightsâ (aurora borealis) or âSouthern Lightsâ (aurora australis), depending on in which polar region they appear.




"
Axis,,"
    An imaginary line through the center of an object. The object rotates around this line.



"
"Barred spiral galaxy",,"
    A galaxy with a âbarâ of stars and interstellar matter, such as dust and gas, slicing across its center. The Milky Way is thought to be a barred spiral galaxy.




"
Baseline,,"
    The distance between two or more telescopes that are working   together as a single instrument to observe celestial objects. The wider the   baseline, the greater the resolving power.



"
"BATSE ","Burst and Transient Source Experiment","
    A high-energy astrophysics âexperimentâ used to investigate gamma-ray bursts (GRBs). BATSE consisted of eight detectors that were mounted on the corners of NASAs Earth-orbiting Compton Gamma-Ray Observatory, whose mission ended in 2000.



"
Batteries,,"
    Batteries provide all the electrical power to support Hubble operations during the night portion of its orbit, when the telescope is in Earthâs shadow. The telescopeâs orbit is approximately 97 minutes long. Roughly 61 minutes of Hubbleâs orbit are in sunlight and 36 minutes are in Earthâs shadow. During Hubbleâs sunlight or daytime period, the solar arrays provide power to the onboard electrical equipment. The solar arrays also charge the spacecraftâs batteries so they can power the spacecraft during the night portion of Hubbleâs orbit. Hubble has six nickel-hydrogen batteries. These batteries, which had been onboard Hubble since the telescope was launched in 1990, were replaced during Servicing Mission 4.




    "
BeppoSAX,,"
    A space-based X-ray observatory built and operated by   the Italian Space Agency and the Netherlands Agency for Aerospace Programs.   BeppoSAX has been instrumental in identifying and locating gamma-ray bursts.



"
"Big Bang",,"
    A broadly accepted theory for the origin and evolution of our universe. The theory says that the observable universe started roughly 13.7 billion years ago from an extremely dense and incredibly hot initial state.




"
"Binary star system",,"
    A system of two stars orbiting around a common center of mass that are bound together by their mutual gravitational attraction.




"
"Black hole",,"
    A region of space containing a huge amount of mass compacted into an extremely small volume. A black holeâs gravitational influence is so strong that nothing, not even light, can escape its grasp. Swirling disks of material â called accretion disks â may surround black holes, and jets of matter may arise from their vicinity.




"
Blueshift,,"
    The shortening of a light wave from an object moving toward an observer. For example, when a star is traveling toward Earth, its light appears bluer.




"
"Blue star",,"
    A massive, hot star that appears blue in color. Spica in the constellation Virgo is an example of a blue star.




"
Bolide,,"
    Large, brilliant meteors that enter the Earthâs atmosphere. Friction between a fast-moving meteor and Earthâs air molecules generates tremendous heat, which causes the meteor to heat up, glow, and perhaps disintegrate. In some cases, the meteor literally explodes, leaving a visible cloud that dissipates slowly.




"
"Brown dwarf",,"
    An object too small to be an ordinary star because it cannot produce enough energy by fusion in its core to compensate for the radiative energy it loses from its surface. A brown dwarf has a mass less than 0.08 times that of the Sun.




"
Bulge,,"
    A meteorite with embedded pebble-sized granules that contain significant quantities of organic (complex carbon-rich) matter.




"
"Carbonaceous chondrite",,"
    A type of reflecting telescope whose eyepiece is located behind the primary mirror. The primary mirror is cast with a hole in the center. When light enters the telescope, it reflects from the primary mirror to the secondary mirror. The secondary mirror reflects the light back through the hole in the primary mirror to the eyepiece.




"
"Cassegrain telescope",,"
    Of or relating to the sky or visible objects in the sky, like the Moon, Sun, planets, comets, asteroids, stars, and galaxies.



"
Celestial,,"
    An object in the sky â examples include the Moon, the Sun, planets, comets, asteroids, stars, and galaxies.




"
"Celestial object",,"
    An imaginary sphere encompassing the Earth that represents the sky. Astronomers chart the sky using the celestial coordinates of the sphere to locate objects in the cosmos. This sphere is divided into 88 sections called constellations. Objects are sometimes named for the major constellation in which they appear.




"
"Celestial sphere",,"
    A temperature scale on which the freezing point of water is 0Â°C and the boiling point is 100Â°C.




"
"Celsius ",Centigrade,"
    A type of pulsating star whose light and energy output vary noticeably over a set period of time. The time period over which the star varies is directly related to its light output or luminosity, making these stars useful standard candles for measuring intergalactic distances.




"
"Cepheid variable",,"
    A space-based X-ray observatory; also known as the Advanced   X-ray Astrophysics Facility (AXAF). Chandra is designed to observe X-rays from   high-energy regions of the universe, such as hot gas in the remnants of exploded   stars. The satellite was launched and deployed in July 1999.



    "
"Chandra X-Ray Observatory",,"
    An electronic detector that records visible light from stars and galaxies to make photographs. These detectors are very sensitive to the extremely faint light of distant galaxies. They can see objects that are 1,000 million times fainter than the eye can see. CCDs are electronic circuits composed of light-sensitive picture elements (pixels), tiny cells that, placed together, resemble mesh on a screen door. The same CCD technology is used in digital cameras.



"
"Charge-coupled device ",CCD,"
    A pure substance consisting of atoms or ions of two or more different elements. The elements are in definite proportions. A chemical compound usually possesses properties unlike those of its constituent elements. For example, table salt (the common name for sodium chloride) is a chemical compound made up of the elements chlorine and sodium.




"
"Chemical compound",,"
    The chemical (i.e., pre-biological) changes that transformed simple atoms and molecules into the more complex chemicals needed for the origin of life. For example, hydrogen atoms in the cores of stars combine through nuclear fusion to form the heavier element helium.




"
"Chemical evolution",,"
    The building blocks that enable life to form and to sustain itself. Life as we know it requires a source of energy, organic (carbon-based) compounds, and water. Scientists believe that atmospheric detection of water, oxygen, methane, carbon dioxide, and other compounds can signal the possibility of life on a planet.



"
"Chemistry for life",,"
    Visible light is made of different colors. When visible light passes through a glass lens or a prism, it gets dispersed, or split, into its many colors. A lens focuses each color at a different point, causing a fringe of color to appear around bright objects. Looking at only red and blue light:

        "
"Chromatic aberration",,"
    The middle layer of the solar atmosphere between the photosphere and the corona. The chromosphere is roughly 10,000 kilometers (6,200 miles) thick and is composed primarily of hydrogen. It varies in temperature from below 10,000 Kelvin (18,000Â°F) to over 100,000 Kelvin (180,000Â°F).




"
Chromosphere,,"
    A geometric model of the universe in which the overall structure of the universe closes upon itself like the surface of a sphere. The rules of geometry in a closed universe are like those that would apply on the surface of a sphere.




"
"Closed universe",,"
    A system of two moveable mirrors used in solar telescopes. The mirrors follow the Sun and keep its image in the same location as Earth rotates.



"
Coelostat,,"
    The area of a telescopeâs primary light-collecting mirror. A telescopeâs light-gathering power rises with an increase in its collecting area.




"
"Collecting area",,"
    A galactic âcar wreckâ in which two galaxies pass close enough to gravitationally disrupt each otherâs shape. The collision rips streamers of stars from the galaxies, fuels an explosion of star birth, and can ultimately result in both galaxies merging into one.




"
"Colliding galaxies",,"
    An event involving a collision of objects; for example, the excitation of a hydrogen atom when it is hit by an electron.




"
"Collisional process",,"
    The visual perception of light that enables human eyes to differentiate between wavelengths of the visible spectrum, with the longest wavelengths appearing red and the shortest appearing blue or violet.




"
Color,,"
    The cloud of gas and dust that forms around a cometâs nucleus. This cloud is created when the solar wind strikes the surface of the nucleus.




"
Coma,,"
    A ball of rock and ice, often referred to as a âdirty snowball.â Typically a few kilometers in diameter, comets orbit the Sun in paths that either allow them to pass by the Sun only once or that repeatedly bring them through the solar system (as in the 76-year orbit of Halleyâs Comet). A cometâs âsignatureâ long, glowing tail is formed when the Sunâs heat warms the coma or nucleus, which releases vapors into space.




"
Comet,,"
    The core of a comet, made up of ice, dirt, and rock.




"
"Comet nucleus",,"
    A comet that became gravitationally bound to Jupiter, colliding with the planet in July 1994. Prior to entering the planetâs atmosphere, the comet broke into several distinct pieces, each with a separate coma and tail.




"
"Comet Shoemaker-Levy 9 ",SL-9,"
    A tail is made up of dust and gas from a cometâs coma. A tail forms when the solar wind separates dust and gas from the coma, pushing it outward and away from the Sun in either a slightly curved path (for dust) or a straight path (for gas).




"
"Comet tail",,"
    A space-based observatory that collected high-energy gamma-ray light from celestial objects. The Compton satellite consisted of the BATSE, COMPTEL, EGRET, and OSSE instruments. Astronauts aboard the space shuttle Atlantis deployed the CGRO into low-Earth orbit in April 1991. The satellite plunged into the Pacific Ocean in June 2000. Concave vs. convex




    "
"Compton Gamma-Ray Observatory ",CGRO,"


        "
"Concave vs. convex",,"
    A fundamental law of physics, which states that the total amount of mass and energy in the universe remains unchanged. However, mass can be converted to energy, and vice versa.




"
"Conservation of energy and mass",,"
    A geometric pattern of bright stars that appears grouped   in the sky. Ancient observers named many constellations after gods, heroes,   animals, and mythological beings. Leo (the Lion) is one example of the 88 constellations.



"
Constellation,,"
    The transfer of heat through a liquid or gas caused by   the physical upwelling of hot matter. The heat transfer results in the circulation   of currents from lower, hotter regions to higher, cooler regions. An everyday   example of this process is boiling water. Convection occurs in the Sun and other   stars.



"
Convection,,"
    The region below a starâs surface where energy flows outward by the rising of hot gas known as convection.




"
"Convection zone",,"
    The central region of a planet, star, or galaxy.



"
Core,,"
    The outermost layer of the atmosphere of a star, including the Sun. The corona is visible during a solar eclipse or when special adapters or filters are attached to a telescope to block the light from the starâs central region. The gaseous corona extends millions of kilometers from the stars surface and has a temperature in the millions of degrees.




"
Corona,,"
    Regions in the corona from which the high-speed solar wind is known to originate. Coronal holes, usually found near the Sunâs poles, are large regions in the corona that are less dense and cooler than the surrounding region.




"
"Coronal hole",,"
    An apparatus installed during the 1993 First Servicing Mission. By placing small and carefully designed mirrors in the telescope, COSTAR successfully improved restored Hubbleâs vision to its original design goals. All the new instruments installed during the servicing missions have internal corrections for spherical aberration and do not require the services of COSTAR. Hubbleâs last original instrument, the Faint Object Camera, was replaced by the Advanced Camera for Surveys during SM3B. COSTAR was replaced by the Cosmic Origins Spectrograph during Servicing Mission 4 and returned to Earth in the space shuttle.




"
"Corrective Optics Space Telescope Axial Replacement ",COSTAR,"
    The relative proportions of chemical elements in the Sun, the solar system, and the local region of the Milky Way galaxy. These proportions are determined by studies of the spectral lines in astronomical objects and are averaged for many stars in our cosmic neighborhood. For example, for every million hydrogen atoms in an average star like our Sun, there are 98,000 helium atoms, 360 carbon atoms, 110 nitrogen atoms, 850 oxygen atoms, and so on.




"
"Cosmic abundances",,"
    Electromagnetic energy filling the universe that is believed to be the radiation remaining from the Big Bang. It is sometimes called the âprimal glow.â This radiation is strongest in the microwave part of the spectrum but has also been detected at radio and infrared wavelengths. The intensity of the cosmic microwave background from every part of the sky is almost exactly the same.




"
"Cosmic background radiation",,"
    Radiative energy filling the universe that is believed to be the radiation remaining from the Big Bang. It is sometimes called the âprimal glow.â This radiation is strongest in the microwave part of the spectrum but has also been detected at radio and infrared wavelengths. The intensity of the cosmic microwave background from every part of the sky is almost exactly the same.




"
"Cosmic microwave background",,"
    A spectrograph that detects ultraviolet light. A spectrograph works by breaking up light from an object into its individual wavelengths so that its composition, temperature, motion, and other chemical and physical properties can be analyzed. COS will study the structure of the universe and how galaxies, stars and planets formed and evolved. Astronauts installed COS during SM4.




"
"Cosmic Origins Spectrograph ",COS,"
    High-energy atomic particles that travel through space at speeds close to the speed of light; also known as cosmic-ray particles.




"
"Cosmic rays",,"
    This principle states that the distribution of matter across very large distances is the same everywhere in the universe and that the universe looks the same in all directions. According to this principle, our view of the universe is like the view from a boat on an ocean, which is essentially the same for any other person on any other boat on any other ocean. Measurements of matter and energy in the universe on the largest observable scales support the cosmological principle.



"
"Cosmological Principle",,"
    The investigation of the origin, structure, and development of the universe, including how energy, forces, and matter interact on a cosmic scale.



"
"Cosmology ",,"
    A bowl-shaped depression caused by a comet or meteorite colliding with the surface of a planet, moon, or asteroid. On geologically active moons and planets (like Earth), craters can result from volcanic activity.




"
Crater,,"
    The minimum average density that matter in the universe would need in order for its gravitational pull to slow the universeâs expansion to a halt.




"
"Critical density",,"
    Originally the main material used to make flat planes of glass for windows, it is composed of soda-lime glass. It can be used to make lenses and prisms. Crown glass bends and disperses, or spreads out, light less than flint glass.



"
"Crown glass",,"
    A region of interstellar space that contains a rich concentration of gas and dust. Such a cloud is often irregular in shape but sometimes has a well-defined edge. Visible light cannot pass through these clouds, so they obscure the light from stars beyond them.




"
"Dark dust cloud",,"
    A mysterious force that seems to work opposite to that of gravity and makes the universe expand at a faster pace.




"
"Dark energy",,"
    Matter that is too dim to be detected by telescopes. Astronomers infer its existence by measuring its gravitational influence. Dark matter makes up most of the total mass of the universe.




"
"Dark matter",,"
    One of two celestial coordinates required to locate an astronomical object, such as a star, on the celestial sphere. Declination is the measure of angular distance of a celestial object above or below the celestial equator and is comparable to latitude. To familiarize yourself with declination, hold out your arm in the direction of the North Star (Polaris). You are now pointing at plus 90 degrees declination. Move your arm downward by 90 degrees. You are now pointing at 0 degrees declination.



"
"Declination ",DEC,"
    One degree of arc is 1/360 of a full circle. The apparent sizes of objects as seen from Earth can be measured in degrees of arc. The angular diameter of the full moon or the Sun as seen from Earth is one-half of a degree.




"
"Degree of arc",,"
    The ratio of the mass of an object to its volume. For   example, water has a density of one gram of mass for every milliliter of volume.



"
Density,,"
    A device used to measure the amount of electromagnetic radiation emitted by celestial objects. Frequently, detectors are used to sense light that is not visible.



"
Detector,,"
    A special form of hydrogen (an isotope called âheavy hydrogenâ) that has a neutron as well as a proton in its nucleus.



"
Deuterium,,"
    The distance from one side of a circle to the other measured through the center. For telescopes, the diameter of a lens or mirror is measured from one side to the opposite side, passing through the center.



"
Diameter,,"
    The separation of heavy matter from light matter, thus causing a variation in density and composition. Differentiation occurs in an object like a planet as gravity draws heavier material toward the planetâs center and lighter material rises to the surface.



"
Differentiation,,"
    A device that splits light into its component parts or spectrum. A diffraction grating often consists of a mirror with thousands of closely spaced parallel lines, which spread out the light into parallel bands of colors or distinct fine lines or bars.




"
"Diffraction grating",,"
    A visible image that is recorded by an electronic detector and subdivided into small picture elements (pixels). Each element is assigned a number that corresponds to the brightness recorded at its physical location on the detector. Computer software converts the numerical information into a visual image. The Hubble Space Telescope records digital images.




"
"Digital image",,"
    Visible light is actually made up of different colors. Each color bends by a different amount when refracted by glass. Thatâs why visible light is split, or dispersed, into different colors when it passes through a lens or prism. Shorter wavelengths, like purple and blue light, bend the most. Longer wavelengths, like red and orange light, bend the least.

        "
Dispersion,,"
    The change in the wavelength of sound or light waves caused when the object emitting the waves moves toward or away from the observer; also called Doppler shift. In sound, the Doppler effect causes a shift in sound frequency or pitch (for example, the change in pitch noted as an ambulance passes). In light, an objectâs visible color is altered and its spectrum is shifted toward the blue region of the spectrum for objects moving toward the observer and toward the red for objects moving away.




"
"Doppler effect",,"
    A system of two stars that are gravitationally bound to each other. They orbit each other around a common center. They can also be called binary stars.




"
"Double stars",,"
    A relatively small galaxy. The Large and Small Magellanic Clouds, visible in the Southern Hemisphere, are two dwarf irregular galaxies that are neighbors of the Milky Way.




"
"Dwarf galaxy",,"
    The third planet from the Sun and one of four terrestrial planets in the inner solar system. Earth, the only planet where water exists in large quantities, has an atmosphere capable of supporting myriad life forms. The planet is 150 million kilometers (93 million miles) away from the Sun. Earth has one satellite âthe Moon.â




"
"Dwarf planet",,"
    Traveling around Earth, in the path followed by an object moving in the gravitational field of Earth. For example, the telescope travels around, or orbits, Earth because Earthâs gravitational field keeps the telescope in its path, or orbit.



"
Earth,,"
    A fundamental force that governs all interactions among electrical charges and magnetism. Essentially, all charged particles attract oppositely charged particles and repel identically charged particles. Similarly, opposite poles of magnets attract and like magnetic poles repel.




"
Earth-orbiting,,"
    A form of energy that propagates through space as vibrations of electric and magnetic fields; also called radiation or light. All electromagnetic radiation is a form of light.




"
"Electromagnetic force",,"
    The entire range of wavelengths of electromagnetic radiation, including radio waves, microwaves, infrared light, visible light, ultraviolet light, X-rays, and gamma rays.




"
"Electromagnetic radiation",,"
    The science dealing with the physical relationship between   electricity and magnetism. The principle of an electromagnet, a magnet generated   by electrical current flow, is based on this phenomenon.



"
"Electromagnetic spectrum",,"
    A negatively charge elementary particle that typically resides outside the nucleus of an atom but is bound to it by electromagnetic forces. An electronâs mass is tiny: 1,836 electrons equals the mass of one proton.



"
Electromagnetism,,"
    A unit of energy that is equal to the energy that an electron gains as it moves through a potential difference of one volt. This very small amount of energy is equal to 1.602 * 10-19 joules. Because an electron volt is so small, engineers and scientists sometimes use the terms MeV (mega-million) and GeV (giga-billion) electron volts.




"
Electron,,"
    A substance composed of a particular kind of atom. All   atoms with the same number of protons (atomic numbers) in the nucleus are examples   of the same element and have identical chemical properties. For example, gold   (with 79 protons) and iron (with 26 protons) are both elements, but table salt   is not because it is made from two different elements: sodium and chlorine.   The atoms of a particular element have the same number of protons in the nucleus   and exhibit a unique set of chemical properties. There are about 90 naturally   occurring elements on Earth.



"
"Electron volt ",eV,"
    Particles smaller than atoms that are the basic building blocks of the universe. The most prominent examples are photons, electrons, and quarks.




"
Element,,"
    A special kind of elongated circle. The orbits of the solar system planets form ellipses.




"
"Elementary particles",,"
    A galaxy that appears spherical or football-shaped. Elliptical galaxies are comprised mostly of old stars and contain very little dust and âcoolâ gas that can form stars.




"
"Ellipse ",elliptical,"
    A bright line in a spectrum caused by emission of light. Each chemical element emits and absorbs radiated energy at specific wavelengths. The collection of emission lines in a spectrum corresponds to the chemical elements contained in a celestial object.




"
"Elliptical galaxy",,"
    Natural processes that wear or grind away the surface of an object. On Earth, the major agents of erosion are water and wind.




"
"Emission line",,"
    The minimum velocity required for an object to escape the gravity of a massive object.




"
Erosion,,"
    A fifteen-member consortium of European countries for the design, development, and deployment of satellites. The Space Telescope European Coordinating Facility (ST-ECF) supports the European astronomical community in exploiting the research opportunities provided by the Earth-orbiting Hubble Space Telescope. The ESA members are Austria, Belgium, Denmark, Finland, France, Germany, Ireland, Italy, the Netherlands, Norway, Portugal, Spain, Sweden, Switzerland, and the United Kingdom, with Canada as a cooperating state.




"
"Escape velocity",,"
    The spherical outer boundary of a black hole. Once matter crosses this threshold, the speed required for it to escape the black holeâs gravitational grip is greater than the speed of light.




"
"European Space Agency ",ESA,"
    A greater-than-minimum energy state of any atom that is achieved when at least one of its electrons resides at a greater-than-normal distance from its parent nucleus.




"
"Event horizon",,"
    The process of allowing electromagnetic radiation to fall on light-sensitive materials such as photographic films or plates. An exposure is also the image created by the process. A long exposure time is needed in order to obtain an image of dim and distant celestial objects.



"
"Excited state",,"
    A planet that orbits a star other than the sun.



"
Exposure,,"
    An adjective that means âbeyond the Earth.â The phrase âextraterrestrial lifeâ refers to possible life on other planets.




"
"Extrasolar planet ",Exoplanet,"
    The lens or lens group closest to the eye in an optical instrument such as a telescope or microscope.



"
Extraterrestrial,,"
    A temperature scale on which the freezing point of water is 32Â°F and the boiling point is 212Â°F.




"
Eyepiece,,"
    An instrument aboard the Hubble Space Telescope that recorded high-resolution images of faint celestial objects in deep space. Built by the European Space Agency, the camera collected ultraviolet and visible light from celestial objects. The camera served as Hubbleâs telephoto lens recording the most detailed images over a small field of view. The FOCâs resolution allowed Hubble to single out individual stars in distant star clusters. The instrument was replaced in March 2002 during Servicing Mission 3B.




"
"Fahrenheit temperature scale",,"
    An instrument aboard the Hubble Space Telescope that acted like a prism to separate light from the cosmos into its component colors, providing a wavelength fingerprint of the object being observed. Such information yields clues about an objects temperature, chemical composition, density, and motion. Spectrographic observations also reveal changes in celestial objects as the universe evolves. The instrument was replaced in February 1997 during the Second Servicing Mission.




"
"Faint Object Camera ",FOC,"
    The region of the infrared spectrum that exhibits the longest wavelengths and the lowest frequencies and energies.




"
"Faint Object Spectrograph ",FOS,"
    A geological term that refers to a fracture or a break in a hard surface like the Earthâs crust. This area is a zone of weakness and may be the site of earthquakes or volcanoes. All planets or moons with a hard crust are candidates for faults or breaks on their surfaces.




"
"Far-infrared spectrum",,"
    The area of the sky visible through a telescope. The telescopeâs viewing area is measured in degrees, arc minutes, or arc seconds. A telescope that can just fit the full moon into its complete viewing area has a field of view of roughly 30 arc minutes.

        "
Fault,,"
    A type of window that absorbs certain colors of light while allowing others to pass through. Astronomers use filters to observe how celestial objects appear in certain colors of light or to reduce the light of exceptionally bright objects. For example, a pair of sunglasses acts as a type of filter, reducing the amount of incoming light while still allowing some light to pass through to the eyes.




"
"Field of view ",FOV,"
    Rotating wheels in a telescope instrument that allow specific colors of light from a celestial object to pass through and form an image on the detector. The Wide Field and Planetary Camera 2 aboard the Hubble Space Telescope has 12 filter wheels, each of which holds four filters.




"
Filter,,"
    Cameras that help keep the Hubble Space Telescope pointed precisely in the right direction. These targeting devices aboard the telescope lock onto guide stars and measure their positions relative to the object being viewed. Adjustments based on these precise readings keep Hubble pointed in the right direction. The sensors also are used to perform celestial measurements.




"
"Filter wheels",,"
    A nuclear process that releases energy when heavyweight   atomic nuclei break down into lighter nuclei. Fission is the basis of the atomic   bomb.



"
"Fine Guidance Sensors ",FGS,"
    Small telescopes with wide fields of view that are aboard the Hubble Space Telescope and used in conjunction with the Fine Guidance Sensors. The star trackers locate the bright stars that are used to orient the telescope for scientific observations.




"
Fission,,"
    A sudden and violent outburst of solar energy that is often observed in the vicinity of a sunspot or solar prominence; also known as a solar flare.




"
"Fixed Head Star Trackers ",FHST,"
    A geometric model of the universe in which the laws of geometry are like those that would apply on a flat surface such as a table top.



"
